Categories,Dimension,Notes,Valeur,Unite,Driving/Driven
Fourche,Longueur de pivot de fourche (Vissee),,140,mm,Driven
Fourche,Diametre bout,,39,mm,Driving
Fourche,Trou freins a Axe,,N/A,,Driving
Fourche,Brake hole to crown,,N/A,,Driving
Fourche,Brake hole angle,,N/A,,Driving
Fourche,Tire clearance/ interference at back of crown,,80,mm,Driven
Fourche,Tire clearance/ interference at front of crown,,78,mm,Driven
Fourche,Bottom edge of crown to axle,,446,mm,Driven
Fourche,Travel,,120,mm,Driving
Fourche,Sag,,20,mm,Driving
Cadre,Plonge de la boite de pédalier,,60,mm,Driving
Cadre,BB drop (from front axle),,60,mm,Driven
Cadre,hauteur de la boite de pedalier,,308,mm,Driven
Cadre,Angle haubans (actuel),,-7.9,°,Driven
Cadre,Angles bases (Axe arriere a boite de pedalier),,-7.9,°,Driven
Cadre,Longueur des bases EAR,,438,mm,Driving
Cadre,Angle Bases - Haubans,,40.8,°,Driven
Cadre,Angle tube diagonal,,47.2,°,Driven
Cadre,Longueur tube diagonal (c-c),,731,mm,Driven
Cadre,Longueur avant EAV,,730,mm,Driving
Cadre,Angle de direction,,69.0,°,Driving
Cadre,Angle de direction,,69.0,°,Driving
Cadre,Jonction douille/tube diagonal avec bas de douille,,55,mm,Driving
Cadre,Jonction douille/tube superieur avec sommet de douille,,28,mm,Driving
Cadre,Extension douille au dessus tube superieur,,12,mm,Driven
Cadre,Extension de douille en dessous du tube diagonal,,14,mm,Driven
Cadre,Longueur de douille,,130,mm,Driving
Cadre,Reach,,470,mm,Driven
Cadre,Espace roue arriere,,40,mm,Driven
Cadre,Angle de tube de selle,,74.5,°,Driving
Cadre,Angle de tube de selle,,74.5,°,Driving
Cadre,Extension tube de selle au dessus tube superieur,,64,mm,Driven
Cadre,Longueur tube de selle (axe-axe),,400,mm,Driven
Cadre,Longueur tube de selle (axe-haut),,480,mm,Driving
Cadre,Longueur tube de selle (effectif),,594,mm,Driven
Cadre,Seat tube length (BB to top of top tube 1),,422,mm,Driven
Cadre,Seat tube length (BB to top of top tube 2),,601,mm,Driven
Cadre,Decalage tube de selle a la boite de pedalier (total),,30,mm,Driven
Cadre,Jontion tube de selle-tube superior au sommet du tube de selle,,80,mm,Driving
Cadre,Recul tube de selle,,130,mm,Driven
Cadre,Stack (elevation),,606,mm,Driven
Cadre,Hauteur cadre,,808,mm,Driven
Cadre,Standover height (front),,895,mm,Driven
Cadre,Standover height (rear),,721,mm,Driven
Cadre,Angle du tube superieur,,18.5,°,Driven
Cadre,tube superieur (effectif),,610,mm,Driven
Cadre,Top tube length (effective (Taiwanese)),,607,mm,Driven
Cadre,Longueur tube superieur (c-c),,589,mm,Driven
Cadre,Chasse au sol,,94,mm,Driven
Cadre,Chasse normale avant(chasse mecanique),,88,mm,Driven
Cadre,Chasse arriere normale,,1172,mm,Driven
Cadre,Arctan(Chasse/radiant de roue),,14.3,°,Driven
Cadre,Empattement,,1161,mm,Driven
Cadre,Wheel flop,,31,mm,Driven
Configuration Jig,Tube superieur option,,630,mm,Driven
Configuration Jig,Angle from BB to top of seat tube,,78.1,°,Driven
Configuration Jig,Boit de pedalier au bord de la junction du tube superieur et de la douille,,724,mm,Driven
Configuration Jig,Boite de pedalier a la junction de la douille et du tube superieur,,753,mm,Driven
Configuration Jig,Boite de pedalier a jojntion tube superieur-tube diagonal (Horizontale),,480,mm,Driven
Configuration Jig,Boite de pedalier a la junction tube superieur-douille (Verticale),,580,mm,Driven
Configuration Jig,Longueur bases (Horizontale),,434,mm,Driven
Configuration Jig,Cobra ST/HT Angle Difference,,9.1,°,Driven
Configuration Jig,Cobra/JF X,,384,mm,Driven
Configuration Jig,Cobra/JF Y,,212,mm,Driven
Configuration Jig,DEAN 1,,218,mm,Driven
Configuration Jig,DEAN 2,,664,mm,Driven
Configuration Jig,DEAN 3,,84.5,°,Driven
Configuration Jig,DEAN 4,,348,mm,Driven
Configuration Jig,Desert fox dimension,,476,mm,Driven
Configuration Jig,Fork base to head tube/ top tube intersection,,574,mm,Driven
Configuration Jig,Front center (Horizontal),,727,mm,Driven
Configuration Jig,Espace entre le bas du tube superieur et le haut du tube diagonal a la douille,,20,mm,Driven
Configuration Jig,Bas de douille (X),,517,mm,Driven
Configuration Jig,Bas de douille (Y),,485,mm,Driven
Configuration Jig,Bas de douille (Direct),,709,mm,Driven
Configuration Jig,Bas de la douille (Machinerie velo X),,656,mm,Driven
Configuration Jig,Bas de la douille (Machinerie velo Y),,267,mm,Driven
Configuration Jig,Bas de douille (Henry James X),,703,mm,Driven
Configuration Jig,Bas de douille (Henry James Y),,519,mm,Driven
Configuration Jig,Head tube bottom extension (X),,0,mm,Driving
Configuration Jig,Head tube bottom extension (Y),,0,mm,Driving
Configuration Jig,Head tube bottom to bottom of top tube,,88,mm,Driven
Configuration Jig,Tube de selle - bases angle interieur,,75.5,°,Driven
Configuration Jig,Decoupe tube de selle au bord bas du tube superieur,,369,mm,Driven
Configuration Jig,Seat tube - top tube junction to BB (X),,78,mm,Driven
Configuration Jig,Seat tube - top tube junction to BB (Y),,-393,mm,Driven
Configuration Jig,Jonction tube superieur et tube de selle avec junction de la douille et du tube diagonal,,593,mm,Driven
Decoupe,Bord bas du tube de selle,,676,mm,Driven
Decoupe,Decoupe avant tube diagonal,,26.2,°,Driven
Decoupe,Tube diagonal – douille angle interieur,,116.2,°,Driven
Decoupe,Decoupe arriere tube diagonal,,40.5,°,Driven
Decoupe,Tube diagonal – tube de selle angle interieur,,49.5,°,Driven
Decoupe,Down tube - Seat tube notch,,25,mm,Driven
Decoupe,Down tube - Seat tube notch to edge of BB,,14,mm,Driven
Decoupe,Tube diagonal – tube superieur angle interieur,,28.7,°,Driven
Decoupe,Miter to miter distance along top of top tube,,546,mm,Driven
Decoupe,Distance decoupe a decoupe le long du bas du tube superieur,,547,mm,Driven
Decoupe,Distance decoupe a decoupe le long du haut du tube diagonal,,678,mm,Driven
Decoupe,Decoupe au centre de la boite de padalier mesure le long du tube diagonal,,713,mm,Driven
Decoupe,Distance decoupe a decoupe le long du bas du tube diagonal,,686,mm,Driven
Decoupe,Decoupe au point le plus profond de la decoupe de la boite de pedalier mesure le long du haut du tube diagonal,,693,mm,Driven
Decoupe,Decoupe au point le plus profond de la decoupe de la boite de pedalier mesure le long du bas du tube diagonal,,666,mm,Driven
Decoupe,Angle decoupe hauban,,17.4,°,Driven
Decoupe,Angle superieur jointure hauban,,72.6,°,Driven
Decoupe,Face superieure du tube de selle jusqu'a la decoupe de la boite de pedialier (mesure sur le cote du cadre),,460,mm,Driven
Decoupe,Face superieure du tube de selle a l'intersection tube de selle et tube diagonal,,448,mm,Driven
Decoupe,Face avant tube de selle a la decoupe du boitier de pedalier,,465,mm,Driven
Decoupe,Decoupe avant tube superieur,,2.5,°,Driven
Decoupe,Tube superieur – douille angle interieur,,92.5,°,Driven
Decoupe,Decoupe arriere tube superieur,,-3.0,°,Driven
Decoupe,Tube superieur – tube de selle angle interieur,,93.0,°,Driven
Decoupe,Miter to miter across bottom edge of stem,,49,mm,Driven
Decoupe,Miter to miter on bottom edge of stem to deepest point on front miter,,39,mm,Driven
Decoupe,Miter to miter on top edge of stem,,58,mm,Driven
Decoupe,Miter to miter on top edge of stem to deepest point on front miter,,48,mm,Driven
Decoupe,Top tube intersects down tube,,false,,Driven
Tube diagonal/Phase blocks,H,,100,mm,Driving
Tube diagonal/Phase blocks,L,,15,mm,Driving
Tube diagonal/Phase blocks,R,,20,mm,Driving
Tube diagonal/Phase blocks,Center to center,,739,mm,Driven
Tube horizontal/Phase blocks,H,,100,mm,Driving
Tube horizontal/Phase blocks,L,,15,mm,Driving
Tube horizontal/Phase blocks,R,,20,mm,Driving
Tube horizontal/Phase blocks,Center to center,,599,mm,Driven
Tube diagonal/Braze-ons,M5 de fixation porte bidon,,200,mm,Driving
Tube diagonal/Braze-ons,M5 de fixation porte bidon,,265,mm,Driving
Tube diagonal/Braze-ons,M5 de fixation porte bidon (de mitre),,166,mm,Driven
Tube diagonal/Braze-ons,M5 de fixation porte bidon (de mitre),,231,mm,Driven
Braze-ons,Down tube shift boss,,105,mm,Driving
Cycliste,A1,,318,mm,Driving
Cycliste,A2,,318,mm,Driving
Cycliste,L1,,406,mm,Driving
Cycliste,L2,,406,mm,Driving
Cycliste,L3,,81,mm,Driving
Cycliste,NK,,148,mm,Driving
Cycliste,TR,,501,mm,Driving
Cycliste,Elbow angle,,82.1,°,Driven
Cycliste,Hip angle,,66.8,°,Driven
Cycliste,Knee angle,,124.6,°,Driven
